,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time
0,0,i,14.7,14.88,100.0,0.18,1,0.06097561,0.0,0.441679893,14.79
1,1,met,14.88,15.09,100.0,0.21,3,0.016260163,0.0,0.431610575,14.985
2,2,a,15.09,15.21,100.0,0.12,1,0.036585366,0.03,0.261621294,15.15
3,3,traveller,15.24,16.08,100.0,0.84,9,0.025745257,0.93,0.278114342,15.66
4,4,from,17.01,17.25,100.0,0.24,4,0.012195122,0.0,0.455488107,17.130000000000003
5,5,an,17.25,17.4,100.0,0.15,2,0.018292683,0.0,0.411218789,17.325
6,6,antique,17.4,18.18,100.0,0.78,7,0.033101045,0.0,0.31117076,17.79
7,7,land,18.18,18.72,100.0,0.54,4,0.042682927,0.0,0.423366255,18.45
8,8,who,18.72,18.9,100.0,0.18,3,0.012195122,0.0,0.267937841,18.81
9,9,said,18.9,19.41,100.0,0.51,4,0.039634146,2.34,0.233909046,19.155
10,10,too,21.75,22.29,99.8087,0.54,3,0.06097561,0.15,0.514661318,22.02
11,11,fast,22.44,23.19,99.8087,0.75,4,0.06402439,0.0,0.185735003,22.815
12,12,and,23.19,23.49,100.0,0.3,3,0.028455285,0.18,0.277792363,23.34
13,13,thankless,23.67,24.36,42.793,0.69,9,0.01897019,0.09,0.131092225,24.015
14,14,legs,24.45,24.99,100.0,0.54,4,0.042682927,0.0,0.230181292,24.72
15,15,of,24.99,25.17,100.0,0.18,2,0.024390244,0.0,0.143614741,25.08
16,16,stone,25.17,26.01,100.0,0.84,5,0.056097561,0.12,0.190502332,25.590000000000003
17,17,stand,26.13,26.76,100.0,0.63,5,0.03902439,0.0,0.137641068,26.445
18,18,in,26.76,26.91,100.0,0.15,2,0.018292683,0.0,0.167851722,26.835
19,19,the,26.91,27.06,100.0,0.15,3,0.008130081,0.0,0.129849081,26.985
20,20,desert,27.06,27.75,100.0,0.69,6,0.034552846,1.05,0.062669452,27.405
